WELL,DEPTH,FACIES,FORMATION,GR,HC,ILD,NPHI,PERM,PHIE,RHOB,SW,VSH
15/9-F-14,3225.0,,Sleipner Fm,24.8643,0.0,2.0529,0.1406,0.606163,0.110904,2.5328,1.0,0.0883276
15/9-F-14,3227.5,,Sleipner Fm,21.3689,0.0,1.9759,0.1376,0.662694,0.114678,2.5289,1.0,0.0599098
15/9-F-14,3230.0,,Sleipner Fm,17.0197,0.0,2.1085,0.1429,0.82792,0.122487,2.5317,1.0,0.0245504
15/9-F-14,3232.5,,Sleipner Fm,17.4723,0.0,2.1383,0.1349,0.677888,0.116967,2.5338,1.0,0.0282301
15/9-F-14,3235.0,,Sleipner Fm,19.6826,0.0,2.1653,0.1333,0.638777,0.114479,2.5287,1.0,0.0462
15/9-F-14,3237.5,,Sleipner Fm,21.3719,0.0,2.2203,0.1341,0.610501,0.112605,2.5293,1.0,0.0599342
15/9-F-14,3240.0,,Sleipner Fm,19.5681,0.0,2.1767,0.1376,0.749497,0.11867,2.5221,1.0,0.0452691
15/9-F-14,3242.5,,Sleipner Fm,18.8307,0.0,2.1981,0.1385,0.738554,0.118612,2.5282,1.0,0.039274
15/9-F-14,3245.0,,Sleipner Fm,18.3455,0.0,2.2016,0.1377,0.719654,0.118146,2.5308,1.0,0.0353293
15/9-F-14,3247.5,,Sleipner Fm,17.8865,0.0,2.2303,0.139,0.734432,0.118884,2.5331,1.0,0.0315976
15/9-F-14,3250.0,,Sleipner Fm,15.7663,0.0,2.2118,0.1363,0.744336,0.120178,2.5328,1.0,0.0143602
15/9-F-14,3252.5,,Sleipner Fm,15.7348,0.0,2.2204,0.138,0.827971,0.12307,2.5251,1.0,0.0141041
15/9-F-14,3255.0,,Sleipner Fm,16.981,0.0,2.1931,0.1389,0.853615,0.123339,2.5196,1.0,0.0242358
15/9-F-14,3257.5,,Sleipner Fm,18.5423,0.0,2.1924,0.1389,0.843584,0.122302,2.5157,1.0,0.0369293
15/9-F-14,3260.0,,Sleipner Fm,17.8818,0.0,2.2026,0.1334,0.786487,0.12071,2.513,1.0,0.0315593
15/9-F-14,3262.5,,Sleipner Fm,16.9728,0.0,2.2405,0.1426,0.902561,0.12488,2.5217,1.0,0.0241691
