DEPTH,GR,NPHI,RHOB,ILD,WELL,PERM,SW,PHIE,VSH,HC,FORMATION,Facies
METERS,GAPI,V/V,G/C3,OHMM,,MD,V/V,V/V,V/V,,,
227.5332,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
227.6856,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
227.838,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
227.9904,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
228.1428,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
228.2952,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
228.4476,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
228.6,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
228.7524,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
228.9048,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
229.0572,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
229.2096,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
229.362,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
229.5144,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
229.6668,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
229.8192,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
229.9716,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
230.124,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
230.2764,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
230.4288,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
230.5812,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
230.7336,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
230.886,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
231.0384,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
231.1908,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
231.3432,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
231.4956,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
231.648,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
231.8004,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
231.9528,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
232.1052,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
232.2576,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
232.41,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
232.5624,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
232.7148,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
232.8672,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
233.0196,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
233.172,9.5833,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
233.3244,8.2142,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
233.4768,8.2142,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
233.6292,8.2142,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
233.7816,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
233.934,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
234.0864,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
234.2388,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
234.3912,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
234.5436,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
234.696,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
234.8484,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
235.0008,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
235.1532,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
235.3056,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
235.458,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
235.6104,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
235.7628,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
235.9152,15.0595,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0468472,0,Utsira Fm,
236.0676,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
236.22,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
236.3724,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
236.5248,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
236.6772,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
236.8296,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
236.982,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
237.1344,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
237.2868,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
237.4392,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
237.5916,15.0595,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0468472,0,Utsira Fm,
237.744,16.4285,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0595231,0,Utsira Fm,
237.8964,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
238.0488,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
238.2012,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
238.3536,12.5952,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0240296,0,Utsira Fm,
238.506,10.4047,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00374722,0,Utsira Fm,
238.6584,8.2142,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
238.8108,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
238.9632,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
239.1156,8.2142,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
239.268,10.9523,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.00881759,0,Utsira Fm,
239.4204,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
239.5728,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
239.7252,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
239.8776,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
240.03,13.6904,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0.0341704,0,Utsira Fm,
